+-----+------+------------------+--------------+------------------+-------------------+----------------+
|     |   ID |          Fortune |      Percent |   Cumulative_sum |   Initial_fortune |   Increased_by |
| 154 |  255 |      1.88951e+06 |  0.00120236  |        0.685023  |           2400    |    786.297     |
| 155 |  582 |      1.87932e+06 |  0.00119587  |        0.686219  |          20913    |     88.8634    |
| 156 |  658 |      1.87362e+06 |  0.00119224  |        0.687411  |         560556    |      2.34243   |
| 157 |  703 |      1.87221e+06 |  0.00119135  |        0.688602  |           2868.3  |    651.725     |
| 158 |  871 |      1.86477e+06 |  0.00118661  |        0.689789  |           2400    |    775.986     |
| 159 |  101 |      1.85801e+06 |  0.00118231  |        0.690971  |           2400    |    773.171     |
| 160 |  403 |      1.84656e+06 |  0.00117503  |        0.692146  |           2400    |    768.402     |
| 161 |  414 |      1.84544e+06 |  0.00117431  |        0.693321  |          51174.8  |     35.0614    |
| 162 |  404 |      1.83647e+06 |  0.00116861  |        0.694489  |          11575    |    157.659     |
| 163 |  645 |      1.83496e+06 |  0.00116765  |        0.695657  |          11613.2  |    157.007     |
| 164 |  523 |      1.82271e+06 |  0.00115985  |        0.696817  |          37996.5  |     46.9704    |
| 165 |  655 |      1.8214e+06  |  0.00115902  |        0.697976  |           2400    |    757.918     |
| 166 |  512 |      1.81865e+06 |  0.00115726  |        0.699133  |           2400    |    756.771     |
| 167 |  304 |      1.81766e+06 |  0.00115664  |        0.70029   |          75079.5  |     23.2098    |
| 168 |  541 |      1.81454e+06 |  0.00115465  |        0.701444  |          42375    |     41.821     |
| 169 |   82 |      1.8075e+06  |  0.00115017  |        0.702594  |          21473.2  |     83.1748    |
| 170 |  141 |      1.8034e+06  |  0.00114756  |        0.703742  |           2400    |    750.416     |
| 171 |  776 |      1.80037e+06 |  0.00114563  |        0.704888  |          11570.7  |    154.597     |
| 172 |  169 |      1.80026e+06 |  0.00114556  |        0.706033  |         515556    |      2.49188   |
| 173 |  630 |      1.79695e+06 |  0.00114345  |        0.707177  |          31873.8  |     55.3769    |
| 174 |   59 |      1.79313e+06 |  0.00114102  |        0.708318  |           2699.1  |    663.343     |
| 175 |  889 |      1.78704e+06 |  0.00113715  |        0.709455  |           2400    |    743.602     |
| 176 |   78 |      1.78388e+06 |  0.00113514  |        0.71059   |           2898    |    614.556     |
| 177 |   22 |      1.78328e+06 |  0.00113476  |        0.711725  |          41324.2  |     42.1534    |
| 178 |   55 |      1.78167e+06 |  0.00113373  |        0.712858  |          41929.5  |     41.4921    |
| 179 |  352 |      1.76616e+06 |  0.00112386  |        0.713982  |           2400    |    734.899     |
| 180 |  267 |      1.75886e+06 |  0.00111922  |        0.715101  |           4735.8  |    370.396     |
| 181 |  808 |      1.75467e+06 |  0.00111655  |        0.716218  |           8239.5  |    211.959     |
| 182 |  437 |      1.74566e+06 |  0.00111082  |        0.717329  |          10579.6  |    164.002     |
| 183 |  260 |      1.74534e+06 |  0.00111062  |        0.718439  |          18446.3  |     93.6172    |
| 184 |  918 |      1.74054e+06 |  0.00110756  |        0.719547  |          34684.5  |     49.182     |
| 185 |   51 |      1.74006e+06 |  0.00110726  |        0.720654  |          82079.5  |     20.1997    |
| 186 |  551 |      1.73931e+06 |  0.00110678  |        0.721761  |           3361.5  |    516.42      |
| 187 |  129 |      1.73685e+06 |  0.00110521  |        0.722866  |          51879    |     32.4788    |
| 188 |  868 |      1.7315e+06  |  0.00110181  |        0.723968  |           2400    |    720.46      |
| 189 |  484 |      1.73046e+06 |  0.00110115  |        0.725069  |           2400    |    720.025     |
| 190 |   18 |      1.72355e+06 |  0.00109675  |        0.726166  |          45252.8  |     37.0872    |
| 191 |  665 |      1.71724e+06 |  0.00109273  |        0.727259  |          43294.5  |     38.6641    |
| 192 |  773 |      1.7149e+06  |  0.00109124  |        0.72835   |          82079.5  |     19.8931    |
| 193 |  199 |      1.70974e+06 |  0.00108796  |        0.729438  |         515556    |      2.3163    |
| 194 |  867 |      1.70036e+06 |  0.00108199  |        0.73052   |          40311    |     41.1811    |
| 195 |  238 |      1.70033e+06 |  0.00108197  |        0.731602  |          20200.8  |     83.1716    |
| 196 |   21 |      1.69075e+06 |  0.00107588  |        0.732678  |          38784.8  |     42.5932    |
| 197 |  724 |      1.68993e+06 |  0.00107536  |        0.733753  |          66524.2  |     24.4033    |
| 198 |  741 |      1.67832e+06 |  0.00106797  |        0.734821  |          60681.8  |     26.6577    |
| 199 |  706 |      1.67074e+06 |  0.00106315  |        0.735884  |          36386.2  |     44.9169    |
| 200 |  469 |      1.66552e+06 |  0.00105982  |        0.736944  |          33619.7  |     48.5401    |
